Token          Count     Lexeme         
STRING         1         "Sum of array elements is "
DELIMITER      1         (              
DELIMITER      1         )              
OPERATOR       1         *              
OPERATOR       1         +              
DELIMITER      2         ,              
INTEGER        1         0              
INTEGER        5         1              
INTEGER        1         2              
INTEGER        3         5              
DELIMITER      1         :              
OPERATOR       5         :=             
DELIMITER      6         ;              
KEYWORD        1         ARRAY          
KEYWORD        1         BEGIN          
KEYWORD        2         DO             
KEYWORD        1         END            
KEYWORD        2         FOR            
KEYWORD        2         INTEGER        
IDENTIFIER     1         PRINT          
KEYWORD        2         STEP           
KEYWORD        2         UNTIL          
DELIMITER      3         [              
DELIMITER      3         ]              
IDENTIFIER     6         i              
IDENTIFIER     3         numbers        
IDENTIFIER     5         sum            
