Token          Count     Lexeme         
STRING         1         " and "        
STRING         1         " is "         
STRING         1         "Sum of "      
DELIMITER      1         (              
DELIMITER      1         )              
OPERATOR       1         +              
DELIMITER      7         ,              
INTEGER        1         3              
INTEGER        1         5              
OPERATOR       3         :=             
DELIMITER      5         ;              
KEYWORD        1         BEGIN          
KEYWORD        1         END            
KEYWORD        1         INTEGER        
IDENTIFIER     1         PRINT          
IDENTIFIER     3         sum            
IDENTIFIER     4         x              
IDENTIFIER     4         y              
